"","V1","V2","V3","V4","V5","V6","headline","date","url","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"1","Impfung","Coronavirus","Pandemie","Neuinfektion","Covid-19","Virus","Wissen Gesundheit","2020-10-16T11:35:13.072184+00:00","http://xml.zeit.de/wissen/gesundheit/2020-10/coronavirus-aktuell-neuinfektionen-covid-19-ausbreitung-live",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Coronavirus","RKI","Neuinfektion","Gesundheitsamt","Pandemie","Infektionszahl","yes","2021-01-02T08:07:15.756532+00:00","http://xml.zeit.de/wissen/gesundheit/2021-01/coronavirus-neuinfektionen-rki-gesundheitsaemter-neujahr","Covid-19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Coronavirus","Reisen","Ausstellung","Kulturbetrieb","Kunst","Globalisierung","yes","2021-01-01T18:06:01.395002+00:00","http://xml.zeit.de/zeit-magazin/2020/51/hans-ulrich-obrist-corona-reisen-nachtzuege-kunst-kulturbetrieb","Pandemie","Zug","Hans Ulrich Obrist","Nachtzug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Coronavirus","Reisen","Ausstellung","Kulturbetrieb","Kunst","Globalisierung","yes","2021-01-01T18:06:01.395002+00:00","http://xml.zeit.de/2021/01/corona-intensivstation-asklepios-klinikum-harburg-hamburg-spezialisierung-lungenkrankheiten-aerzte","Pandemie","Zug","Hans Ulrich Obrist","Nachtzug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Coronavirus","Pandemie","Psyche","Film","Kino","Lockdown","yes","2020-12-30T19:20:04.519270+00:00","http://xml.zeit.de/kultur/2020-12/corona-pandemie-transitbereich-filme-flughafen-feststecken-terminal-tom-hanks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Pandemie","Coronavirus","JahresrÃ¼ckblick","Emotion","Jahresende",NA,"yes","2020-12-30T18:07:20.920351+00:00","http://xml.zeit.de/zeit-magazin/leben/2020-12/jahresrueckblick-2020-coronavirus-jahresende-gefuehlslage-pandemie-schoenreden",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Coronavirus","GroÃŸbritannien","Pandemie","Intensivstation","Gesundheitssystem","Impfstoff","yes","2021-01-04T07:28:57.758494+00:00","http://xml.zeit.de/politik/ausland/2020-12/coronavirus-grossbritannien-impfungen-infektionszahlen-gesundheitssystem-nhs","Matt Hancock","Andrew Pollard","London","Oxford","Pfizer","AstraZeneca","Virus","Lockdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Coronavirus","Pandemie","Statistik","Statistisches Bundesamt","Jens BÃ¼ttner","Sterblichkeit","yes","2020-12-30T16:48:00.281311+00:00","http://xml.zeit.de/wissen/gesundheit/2020-12/statistisches-bundesamt-sterbefallzahlen-november-2020-anstieg","Sterbefallzahl","Behandlungszimmer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Coronavirus","Frauen","Christine Hohmann-Dennhardt","Gleichberechtigung","Weihnachten","ManagergehÃ¤lter","no","2020-12-30T16:06:33.396188+00:00","http://xml.zeit.de/politik/deutschland/2020-12/christine-hohmann-dennhardt-lockdown-corona-massnahmen-gleichberechtigung-frauenquote-partiaetsgesetz","Gender-Pay-Gap","Jan-Philipp Strobel","Bundesverfassungsgericht","Lockdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Coronavirus","Corona-Impfung","Bundesregierung","Gesundheitssystem","Logistik","Jens Spahn","yes","2020-12-30T16:30:49.356604+00:00","http://xml.zeit.de/politik/deutschland/2020-12/corona-impfung-lieferung-impfstoff-bundeslaender-gesundheitssystem-logistik","Brandenburg","Deutschland","Sachsen-Anhalt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Coronavirus","Schule","Bundesregierung","Lehrer","Eltern","Lockdown","yes","2020-12-30T15:42:59.673256+00:00","http://xml.zeit.de/gesellschaft/schule/2020-12/schulbetrieb-schulbeginn-2021-lockdown-lehrer-gewerkschaft-schueler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Irrtum","Pandemie","Coronavirus","Alpen","Skispringen","Schweiz","yes","2020-12-30T13:54:46.249114+00:00","http://xml.zeit.de/gesellschaft/2020-12/corona-pandemie-2020-groesste-irrtuemer-politikpodcast","Alpenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","JahresrÃ¼ckblick","Coronavirus","Donald Trump","Joe Biden","Annegret Kramp-Karrenbauer","Markus SÃ¶der","no","2020-12-30T16:19:45.682513+00:00","http://xml.zeit.de/politik/2020-12/2020-jahresrueckblick-coronavirus-donald-trump-klimakrise","Klimakrise","Wuhan","Lockdown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Pandemie","Weihnachten","Coronavirus","Heiligabend","Lockdown","Feiertag","free","Dieter Puhl;Theresa BrÃ¼ckner;Nora Bossong;Stephan Anpalagan;Dorothee BÃ¤r;Stefan JÃ¼rgens;Rainer Maria SchieÃŸler;Hanna Jacobs","http://xml.zeit.de/2021/01/weihnachten-corona-lockdown-feiertage-weihnachtsfest","Weihnachtsfest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
